,title,url,cover_url
85,Volume 86,https://www.detectiveconanworld.com/wiki/Volume_86,https://www.detectiveconanworld.com/wiki/images/thumb/1/1c/Volume_86.jpg/275px-Volume_86.jpg
86,Volume 87,https://www.detectiveconanworld.com/wiki/Volume_87,https://www.detectiveconanworld.com/wiki/images/thumb/4/4e/Volume_87.jpg/275px-Volume_87.jpg
87,Volume 88,https://www.detectiveconanworld.com/wiki/Volume_88,https://www.detectiveconanworld.com/wiki/images/thumb/4/45/Volume_88.jpg/275px-Volume_88.jpg
88,Volume 89,https://www.detectiveconanworld.com/wiki/Volume_89,https://www.detectiveconanworld.com/wiki/images/thumb/f/fe/Volume_89.jpg/275px-Volume_89.jpg
89,Volume 90,https://www.detectiveconanworld.com/wiki/Volume_90,https://www.detectiveconanworld.com/wiki/images/thumb/2/26/Volume_90.jpg/275px-Volume_90.jpg
90,Volume 91,https://www.detectiveconanworld.com/wiki/Volume_91,https://www.detectiveconanworld.com/wiki/images/thumb/9/95/Volume_91.jpg/275px-Volume_91.jpg
91,Volume 92,https://www.detectiveconanworld.com/wiki/Volume_92,https://www.detectiveconanworld.com/wiki/images/thumb/d/db/Volume_92.jpg/275px-Volume_92.jpg
92,Volume 93,https://www.detectiveconanworld.com/wiki/Volume_93,https://www.detectiveconanworld.com/wiki/images/thumb/9/95/Volume_93.jpg/275px-Volume_93.jpg
93,Volume 94,https://www.detectiveconanworld.com/wiki/Volume_94,https://www.detectiveconanworld.com/wiki/images/thumb/5/59/Volume_94.jpg/275px-Volume_94.jpg
94,Volume 95,https://www.detectiveconanworld.com/wiki/Volume_95,https://www.detectiveconanworld.com/wiki/images/thumb/e/e6/Volume_95.jpg/275px-Volume_95.jpg
95,Volume 96,https://www.detectiveconanworld.com/wiki/Volume_96,https://www.detectiveconanworld.com/wiki/images/thumb/0/0a/Volume_96.jpg/275px-Volume_96.jpg
96,Volume 97,https://www.detectiveconanworld.com/wiki/Volume_97,https://www.detectiveconanworld.com/wiki/images/thumb/a/aa/Volume_97.jpg/275px-Volume_97.jpg
97,Volume 98,https://www.detectiveconanworld.com/wiki/Volume_98,https://www.detectiveconanworld.com/wiki/images/thumb/a/a5/Volume_98.jpg/275px-Volume_98.jpg
98,Volume 99,https://www.detectiveconanworld.com/wiki/Volume_99,https://www.detectiveconanworld.com/wiki/images/thumb/4/41/Volume_99.jpg/275px-Volume_99.jpg
99,Volume 100,https://www.detectiveconanworld.com/wiki/Volume_100,https://www.detectiveconanworld.com/wiki/images/thumb/0/00/Volume_100.jpg/275px-Volume_100.jpg
100,Volume 101,https://www.detectiveconanworld.com/wiki/Volume_101,https://www.detectiveconanworld.com/wiki/images/thumb/7/74/Volume_101.jpg/275px-Volume_101.jpg
101,Volume 102,https://www.detectiveconanworld.com/wiki/Volume_102,https://www.detectiveconanworld.com/wiki/images/thumb/9/92/Volume_102.jpg/275px-Volume_102.jpg
102,Volume 103,https://www.detectiveconanworld.com/wiki/Volume_103,https://www.detectiveconanworld.com/wiki/images/8/88/No_cover.jpg
